"Timestamp","Platform","Pizzas [1]","Pizzas [2]","Pizzas [3]","Extra Topping","Preparation Time (Minutes)"
"2023/07/02 7:55:20 pm EEST","Uber","Margie","","","","12"
"2023/07/02 7:56:07 pm EEST","Uber","Champ","Champ","","","15"
"2023/07/02 7:56:45 pm EEST","Uber","Margie;Champ","","","","13"
"2023/07/02 8:23:01 pm EEST","","Champ","","","","10"
"2023/07/02 8:43:28 pm EEST","Window","Margie","Margie","","","12"
"2023/07/02 8:43:46 pm EEST","Uber","Pig n Paradise","","","",""
"2023/07/02 8:44:09 pm EEST","Uber","Mish-Mash","","","","12"
"2023/07/04 3:46:19 pm EEST","Mr Delivery","Champ","Mish-Mash","Pig n Paradise","hiy","20"
"2023/07/04 5:53:51 pm EEST","Uber","Pig n Paradise;Mish-Mash","","","","14"
"2023/07/04 5:54:33 pm EEST","Uber","Spud","","","","10"
"2023/07/04 5:54:52 pm EEST","Uber","Pig n Paradise","","","","10"
"2023/07/04 5:55:17 pm EEST","Uber","Champ","","","","15"
"2023/07/04 5:56:13 pm EEST","Window","Margie;Vegan Harvest","Vegan Harvest","","","10"
"2023/07/04 5:56:51 pm EEST","Uber","Pig n Paradise;Mish-Mash","","","","15"
"2023/07/04 6:18:59 pm EEST","Mr Delivery","Mish-Mash","","","","13"
"2023/07/04 6:19:29 pm EEST","Uber","Margie;Mushroom Cloud","","","","15"
"2023/07/04 7:04:23 pm EEST","Uber","Champ;Pig n Paradise","","","","12"
"2023/07/04 7:04:49 pm EEST","Uber","Champ","","","","10"
"2023/07/04 7:06:12 pm EEST","Uber","Margie","","","Extra tomato base please","12"
"2023/07/04 7:07:23 pm EEST","Window","Mish-Mash;Mushroom Cloud;Sausage Party","","","","15"
"2023/07/04 7:12:32 pm EEST","Uber","Margie","","","No basil ! On margie please thank you!","13"
"2023/07/04 7:26:43 pm EEST","Window","Pig n Paradise","","","","15"
"2023/07/04 7:31:32 pm EEST","Uber","Pig n Paradise","","","","14"
"2023/07/04 7:39:03 pm EEST","Uber","Champ","","","","15"
"2023/07/04 7:40:26 pm EEST","Uber","Champ;Spud","Spud","","","15"
"2023/07/04 7:51:15 pm EEST","Uber","Margie","Margie","","","10"
"2023/07/04 8:04:31 pm EEST","Mr Delivery","Spud","Spud","Spud","","15"
"2023/07/04 8:46:37 pm EEST","Uber","Champ","Champ","","","17"
"2023/07/04 9:11:33 pm EEST","Uber","Margie","","","","10"
"2023/07/04 9:11:57 pm EEST","Mr Delivery","Feisty Italian","","","","15"
"2023/07/04 9:16:58 pm EEST","Uber","Champ","","","","13"
"2023/07/04 9:24:17 pm EEST","Uber","Margie;Champ","","","","10"
"2023/07/05 2:21:23 pm EEST","Window","Feisty Italian","","","","10"
"2023/07/05 4:10:16 pm EEST","Window","Zesty Zucchini","","","",""
"2023/07/05 4:59:43 pm EEST","Window","Champ","","","",""
"2023/07/05 5:37:20 pm EEST","Window","Champ","","","","12"
"2023/07/05 5:46:12 pm EEST","Uber","Mushroom Cloud","","","","10"
"2023/07/05 5:54:34 pm EEST","Uber","Champ;Spud","Champ","","No chilli no onion on spud cripy please ","10"
"2023/07/05 6:53:29 pm EEST","Uber","Champ","","","","10"
"2023/07/05 7:18:38 pm EEST","Uber","Champ","","","","10"
"2023/07/05 7:19:14 pm EEST","Window","Margie;Champ","Margie","","","15"
"2023/07/05 7:19:45 pm EEST","Uber","Margie;Champ","","","","15"
"2023/07/05 7:20:46 pm EEST","Window","Margie;Vegan Harvest","Margie","","","14"
"2023/07/05 7:23:22 pm EEST","Window","Margie;Pig n Paradise","Margie;Pig n Paradise","","","14"
"2023/07/05 7:35:46 pm EEST","Window","Pig n Paradise;Sausage Party","","","","12"
"2023/07/05 7:42:32 pm EEST","Uber","Spud","","","","15"
"2023/07/05 7:44:07 pm EEST","Uber","Margie;Champ;Pig n Paradise;Mushroom Cloud;Feisty Italian;Poppa's","Margie;Champ","Margie;Champ","","15"
"2023/07/05 7:55:02 pm EEST","Uber","Margie;Champ;Pig n Paradise;Vegan Harvest","","","","15"
"2023/07/05 7:56:17 pm EEST","Uber","Pig n Paradise;Mish-Mash","","","","12"
"2023/07/06 2:10:57 pm EEST","Uber","Mushroom Cloud","","","","18"
"2023/07/06 3:31:16 pm EEST","Window","Pig n Paradise","Pig n Paradise","","","12"
"2023/07/06 4:23:54 pm EEST","Uber","Champ;Mushroom Cloud","","","","10"
"2023/07/06 4:44:19 pm EEST","Uber","Champ;Pig n Paradise","","","For  6:30pm please👍","18"
"2023/07/06 5:50:21 pm EEST","Window","Pig n Paradise","","","","7"
"2023/07/06 6:00:30 pm EEST","Window","Champ;Pig n Paradise","","","","10"
"2023/07/06 6:04:13 pm EEST","Uber","Feisty Italian;Sausage Party","","","No butternut please","18"
"2023/07/06 6:16:57 pm EEST","Uber","Mushroom Cloud","","","","18"
"2023/07/06 6:36:45 pm EEST","Uber","Margie","","","","13"
"2023/07/06 6:51:09 pm EEST","Mr Delivery","Margie;Sausage Party","","","","18"
"2023/07/06 6:54:07 pm EEST","Uber","Champ","","","","12"
"2023/07/06 7:04:02 pm EEST","Uber","Champ;Vegan Harvest","","","","20"
"2023/07/06 7:04:59 pm EEST","Uber","Vegan Harvest","","","","18"
"2023/07/06 7:09:24 pm EEST","Uber","Sausage Party;Poppa's","","","","10"
"2023/07/06 7:31:13 pm EEST","Uber","Margie;Pig n Paradise","","","",""
"2023/07/06 7:33:05 pm EEST","Window","","Build Your Own","","1.Parma Ham+Caramelized Onions. 2.Butternut+Sage","15"
"2023/07/06 7:35:50 pm EEST","Uber","Vegan Harvest;Feisty Italian","","","","23"
"2023/07/06 8:09:01 pm EEST","Mr Delivery","Mushroom Cloud;Spud;Build Your Own","","","And      1      janes dough pizza","10"
"2023/07/07 1:39:52 pm EEST","Window","Margie","","","","10"
"2023/07/07 2:14:16 pm EEST","Uber","Champ","","","Extra    sauce ","12"
"2023/07/07 3:24:38 pm EEST","Window","Margie;Pig n Paradise","","","","12"
"2023/07/07 3:31:51 pm EEST","Uber","Mish-Mash","","","","14"
"2023/07/07 4:42:05 pm EEST","Uber","Pig n Paradise;Mish-Mash","","","","10"
"2023/07/07 4:44:39 pm EEST","Window","Pig n Paradise;Vegan Harvest","","","Extra cheese on vigan","10"
"2023/07/07 5:22:17 pm EEST","Uber","Mushroom Cloud;Spud","","","","15"
"2023/07/07 5:30:19 pm EEST","Uber","Pig n Paradise","","","","21"
"2023/07/07 5:35:18 pm EEST","Window","Margie","","","","10"
"2023/07/07 6:03:33 pm EEST","Uber","Margie;Vegan Harvest;Spud","Margie","Margie","","22"
